structure,method,design,conserved_contacts,total_contacts,missing_contacts,contact_conservation_rate,contact_conservation_pct
9NFU,ensemble,82,7,14,0,0.5,50.0
9NFU,ensemble,83,6,14,0,0.42857142857142855,42.857142857142854
9NFU,ensemble,84,6,14,0,0.42857142857142855,42.857142857142854
9NFU,ensemble,85,5,14,0,0.35714285714285715,35.714285714285715
9NFU,ensemble,86,6,14,0,0.42857142857142855,42.857142857142854
9NFU,ensemble,87,6,14,0,0.42857142857142855,42.857142857142854
9NFU,ensemble,88,7,14,0,0.5,50.0
9NFU,ensemble,89,7,14,0,0.5,50.0
9NFU,ensemble,90,5,14,0,0.35714285714285715,35.714285714285715
9NFU,ensemble,91,7,14,0,0.5,50.0
9NFU,ensemble,92,5,14,0,0.35714285714285715,35.714285714285715
9NFU,ensemble,93,6,14,0,0.42857142857142855,42.857142857142854
9NFU,ensemble,94,4,14,0,0.2857142857142857,28.57142857142857
9NFU,ensemble,95,6,14,0,0.42857142857142855,42.857142857142854
9NFU,ensemble,96,6,14,0,0.42857142857142855,42.857142857142854
9NFU,ensemble,97,6,14,0,0.42857142857142855,42.857142857142854
9NFU,ensemble,98,8,14,0,0.5714285714285714,57.14285714285714
9NFU,ensemble,99,7,14,0,0.5,50.0
9NFU,ensemble,100,6,14,0,0.42857142857142855,42.857142857142854
9NH7,ensemble,1,4,15,0,0.26666666666666666,26.666666666666668
9NH7,ensemble,2,3,15,0,0.2,20.0
9NH7,ensemble,3,4,15,0,0.26666666666666666,26.666666666666668
9NH7,ensemble,4,4,15,0,0.26666666666666666,26.666666666666668
9NH7,ensemble,5,5,15,0,0.3333333333333333,33.33333333333333
9NH7,ensemble,6,1,15,0,0.06666666666666667,6.666666666666667
9NH7,ensemble,7,3,15,0,0.2,20.0
9NH7,ensemble,8,3,15,0,0.2,20.0
9NH7,ensemble,9,2,15,0,0.13333333333333333,13.333333333333334
9NH7,ensemble,10,2,15,0,0.13333333333333333,13.333333333333334
9NH7,ensemble,11,2,15,0,0.13333333333333333,13.333333333333334
9NH7,ensemble,12,3,15,0,0.2,20.0
9NH7,ensemble,13,5,15,0,0.3333333333333333,33.33333333333333
9NH7,ensemble,14,2,15,0,0.13333333333333333,13.333333333333334
9NH7,ensemble,15,4,15,0,0.26666666666666666,26.666666666666668
9NH7,ensemble,16,6,15,0,0.4,40.0
9NH7,ensemble,17,5,15,0,0.3333333333333333,33.33333333333333
9NH7,ensemble,18,4,15,0,0.26666666666666666,26.666666666666668
9NH7,ensemble,19,4,15,0,0.26666666666666666,26.666666666666668
9NH7,ensemble,20,3,15,0,0.2,20.0
9NH7,ensemble,21,3,15,0,0.2,20.0
9NH7,ensemble,22,2,15,0,0.13333333333333333,13.333333333333334
9NH7,ensemble,23,5,15,0,0.3333333333333333,33.33333333333333
9NH7,ensemble,24,3,15,0,0.2,20.0
9NH7,ensemble,25,3,15,0,0.2,20.0
9NH7,ensemble,26,4,15,0,0.26666666666666666,26.666666666666668
9NH7,ensemble,27,2,15,0,0.13333333333333333,13.333333333333334
9NH7,ensemble,28,5,15,0,0.3333333333333333,33.33333333333333
9NH7,ensemble,29,2,15,0,0.13333333333333333,13.333333333333334
9NH7,ensemble,30,4,15,0,0.26666666666666666,26.666666666666668
9NH7,ensemble,31,2,15,0,0.13333333333333333,13.333333333333334
9NH7,ensemble,32,5,15,0,0.3333333333333333,33.33333333333333
9NH7,ensemble,33,3,15,0,0.2,20.0
9NH7,ensemble,34,4,15,0,0.26666666666666666,26.666666666666668
9NH7,ensemble,35,4,15,0,0.26666666666666666,26.666666666666668
9NH7,ensemble,36,3,15,0,0.2,20.0
9NH7,ensemble,37,2,15,0,0.13333333333333333,13.333333333333334
9NH7,ensemble,38,2,15,0,0.13333333333333333,13.333333333333334
9NH7,ensemble,39,5,15,0,0.3333333333333333,33.33333333333333
9NH7,ensemble,40,3,15,0,0.2,20.0
9NH7,ensemble,41,3,15,0,0.2,20.0
9NH7,ensemble,42,3,15,0,0.2,20.0
9NH7,ensemble,43,4,15,0,0.26666666666666666,26.666666666666668
9NH7,ensemble,44,2,15,0,0.13333333333333333,13.333333333333334
9NH7,ensemble,45,2,15,0,0.13333333333333333,13.333333333333334
9NH7,ensemble,46,5,15,0,0.3333333333333333,33.33333333333333
9NH7,ensemble,47,4,15,0,0.26666666666666666,26.666666666666668
9NH7,ensemble,48,5,15,0,0.3333333333333333,33.33333333333333
9NH7,ensemble,49,2,15,0,0.13333333333333333,13.333333333333334
9NH7,ensemble,50,3,15,0,0.2,20.0
9NH7,ensemble,51,4,15,0,0.26666666666666666,26.666666666666668
9NH7,ensemble,52,2,15,0,0.13333333333333333,13.333333333333334
9NH7,ensemble,53,3,15,0,0.2,20.0
9NH7,ensemble,54,3,15,0,0.2,20.0
9NH7,ensemble,55,4,15,0,0.26666666666666666,26.666666666666668
9NH7,ensemble,56,4,15,0,0.26666666666666666,26.666666666666668
9NH7,ensemble,57,1,15,0,0.06666666666666667,6.666666666666667
9NH7,ensemble,58,4,15,0,0.26666666666666666,26.666666666666668
9NH7,ensemble,59,3,15,0,0.2,20.0
9NH7,ensemble,60,3,15,0,0.2,20.0
9NH7,ensemble,61,3,15,0,0.2,20.0
9NH7,ensemble,62,4,15,0,0.26666666666666666,26.666666666666668
9NH7,ensemble,63,3,15,0,0.2,20.0
9NH7,ensemble,64,4,15,0,0.26666666666666666,26.666666666666668
9NH7,ensemble,65,4,15,0,0.26666666666666666,26.666666666666668
9NH7,ensemble,66,3,15,0,0.2,20.0
9NH7,ensemble,67,4,15,0,0.26666666666666666,26.666666666666668
9NH7,ensemble,68,2,15,0,0.13333333333333333,13.333333333333334
9NH7,ensemble,69,3,15,0,0.2,20.0
9NH7,ensemble,70,1,15,0,0.06666666666666667,6.666666666666667
9NH7,ensemble,71,2,15,0,0.13333333333333333,13.333333333333334
9NH7,ensemble,72,1,15,0,0.06666666666666667,6.666666666666667
9NH7,ensemble,73,4,15,0,0.26666666666666666,26.666666666666668
9NH7,ensemble,74,2,15,0,0.13333333333333333,13.333333333333334
9NH7,ensemble,75,2,15,0,0.13333333333333333,13.333333333333334
9NH7,ensemble,76,4,15,0,0.26666666666666666,26.666666666666668
9NH7,ensemble,77,2,15,0,0.13333333333333333,13.333333333333334
9NH7,ensemble,78,5,15,0,0.3333333333333333,33.33333333333333
9NH7,ensemble,79,4,15,0,0.26666666666666666,26.666666666666668
9NH7,ensemble,80,3,15,0,0.2,20.0
9NH7,ensemble,81,5,15,0,0.3333333333333333,33.33333333333333
9NH7,ensemble,82,3,15,0,0.2,20.0
9NH7,ensemble,83,4,15,0,0.26666666666666666,26.666666666666668
9NH7,ensemble,84,2,15,0,0.13333333333333333,13.333333333333334
9NH7,ensemble,85,4,15,0,0.26666666666666666,26.666666666666668
9NH7,ensemble,86,5,15,0,0.3333333333333333,33.33333333333333
9NH7,ensemble,87,5,15,0,0.3333333333333333,33.33333333333333
9NH7,ensemble,88,2,15,0,0.13333333333333333,13.333333333333334
9NH7,ensemble,89,2,15,0,0.13333333333333333,13.333333333333334
9NH7,ensemble,90,4,15,0,0.26666666666666666,26.666666666666668
9NH7,ensemble,91,3,15,0,0.2,20.0
9NH7,ensemble,92,3,15,0,0.2,20.0
9NH7,ensemble,93,3,15,0,0.2,20.0
9NH7,ensemble,94,5,15,0,0.3333333333333333,33.33333333333333
9NH7,ensemble,95,3,15,0,0.2,20.0
9NH7,ensemble,96,2,15,0,0.13333333333333333,13.333333333333334
9NH7,ensemble,97,5,15,0,0.3333333333333333,33.33333333333333
9NH7,ensemble,98,3,15,0,0.2,20.0
9NH7,ensemble,99,5,15,0,0.3333333333333333,33.33333333333333
9NH7,ensemble,100,3,15,0,0.2,20.0
